sample,age.cal.BP,Alnus,Betula,Carpinus,Corylus,Cretaegus,Fagus,Fraxinus,Pinus,Prunus spinosa,Quercus,Salix,Sorbus,Tilia,Ulmus,Hedera helix,Ilex aquifolium,Ulex,Ericaceae undiff.,Calluna,Poaceae <37um,Avena/Triticum t.,Cyperaceae,Anagallis tenella,Anthemis,Artemisia,Apiaceae,Asteraceae,Brassicaceae,Campanula type,Cardueae,Caryophyllaceae,Centaurea nigra,Chenopodiaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Gentianella campestris,Lactuceae,Lamiaceae,Lotus,Plantago lanceolata,Polygala,Potentilla,Ranunculus acris type,Rhinanthus,Rosaceae undiff.,Rumex acetosa,Rumex obtusifolia,Scrophularia type,Sedum type,Succisa pratensis,Polypodium,Pteridium,Pteropsida (monolete) undiff.,Sphagnum
138,5463,51,14,0,104,0,0,2,6,0,61,0,0,0,11,0,0,0,0,73,43,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,1,0,1,4,0,2,0
139,5478,42,10,0,77,0,0,2,5,0,44,0,0,1,8,0,0,0,0,50,66,0,3,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,10,0,3,0,0,6,0,0,0,0,0,1,0,0,6,0,3,0
140,5493,45,10,0,106,0,0,0,1,0,53,0,0,0,6,0,0,0,0,43,34,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,2,1
141,5509,47,7,1,106,0,0,3,4,0,56,0,0,1,7,0,0,0,0,64,37,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,3,2,0
142,5524,47,11,0,95,0,0,5,1,0,61,0,0,0,6,0,0,0,0,43,27,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0
143,5540,50,9,0,73,0,0,5,3,0,46,0,2,0,12,0,0,0,0,64,26,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
144,5557,42,11,0,101,0,0,3,0,0,58,0,0,2,9,1,0,0,2,60,39,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,3,2,8,4
145,5574,49,8,0,101,0,0,4,2,0,66,0,1,2,11,1,0,0,0,60,41,0,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,4,1,1,1
146,5591,45,8,0,79,0,0,1,2,0,52,0,0,0,12,0,0,0,0,69,41,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,2,0,0
147,5610,41,18,0,79,0,0,2,3,0,52,1,1,1,4,0,0,0,2,43,38,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
148,5629,46,16,0,93,0,0,6,7,0,60,0,0,1,9,0,0,0,0,15,50,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,1,2,0
150,5669,39,13,0,102,0,0,5,1,0,57,0,0,0,11,0,0,0,0,32,31,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
152,5712,51,20,0,113,0,0,4,5,0,51,2,1,0,15,0,0,0,3,12,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,2,1,3
156,5813,46,18,0,97,0,0,6,0,0,48,2,0,1,12,0,0,0,2,29,22,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,5,1,2
160,5934,33,11,0,108,0,0,2,0,0,51,0,0,1,11,0,0,0,3,42,49,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,4,0
164,6078,42,9,0,82,0,0,0,3,0,53,4,0,0,10,0,0,0,7,28,38,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,2,3,3
168,6244,42,15,0,88,0,0,0,5,0,64,5,0,1,12,0,0,0,1,34,41,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,2,1,0,0
172,6425,26,11,0,95,0,0,0,1,0,52,0,2,0,12,0,0,0,1,33,48,0,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,1,4,1,1
176,6617,18,17,0,82,0,0,0,8,0,66,6,0,0,11,0,0,0,0,38,48,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,6,0
180,6814,9,20,0,91,0,0,0,7,0,24,0,0,2,8,0,0,0,3,70,56,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,1,0,0
184,7013,13,17,0,114,0,0,0,3,0,11,0,0,3,3,0,0,0,2,69,45,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0
188,7211,11,17,0,70,0,0,0,6,0,16,0,3,1,3,0,0,0,2,42,87,2,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,1,0,0,0
