depth,age.cal.bp,Acer,Alnus,Betula,Carpinus,Corylus,Fagus,Fraxinus,Pinus,Quercus,Salix,Tilia,Ulmus,Juglans,Juniperus,cf Larix type,Hedera helix,Ilex aquifolium,Ulex,Ericaceae,Calluna vulgaris,Poaceae,Asteraceae,Artemisia type,Avena/Triticum,Brassica,Campanula type,Centaurea cyanus,Centaurea nigra,Centaurea scabiosa,Chenopodiaceae,Cirsium,Cyperaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Hordeum,Hypericum,Lactuceae,Lysimachia,Malva type,Menyanthes,Myrica gale,Plantago lanceolata,Polygala,Potentilla type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetosa,Rumex acetosella,Sambucus,Secale cereale,Sorbus,Succisa pratensis,Trifolium,Trofolium repens,Urtica dioica,Elodea,Typha,Polypodium,Pteridium,Pteropsida,Sphagnum
520.5,6060,0,50,8,0,111,0,1,2,54,0,0,11,0,0,0,1,0,0,0,28,23,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3
528.5,6183,0,36,9,0,76,0,2,1,55,0,0,6,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1
536.5,6295,0,33,13,0,91,0,1,4,60,2,1,13,0,0,0,1,0,0,1,13,7,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
544.5,6395,0,28,13,0,120,0,9,0,39,0,1,6,0,0,0,0,0,0,1,16,4,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
552.5,6483,0,28,10,0,110,0,0,2,49,0,1,8,0,0,0,0,0,0,0,10,80,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
560.5,6559,0,26,29,0,74,0,4,4,41,0,0,8,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0
568.5,6628,0,29,8,0,147,0,4,6,32,0,3,8,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
576.5,6692,0,21,15,0,110,0,1,2,48,2,2,9,0,0,0,1,0,0,0,10,18,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0
584.5,6757,0,27,5,0,136,0,1,4,54,0,0,19,0,0,0,0,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
592.5,6825,0,19,13,0,116,0,0,3,54,0,0,10,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
600.5,6900,0,8,6,0,105,0,1,4,29,0,1,6,0,0,0,0,0,0,1,56,65,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
608.5,6986,0,6,24,0,116,0,1,1,29,1,1,8,0,0,0,0,0,0,0,71,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0
616.5,7086,0,14,13,0,178,0,0,4,38,0,0,11,1,0,0,0,0,0,1,17,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0
624.5,7202,0,10,16,0,130,0,2,5,20,3,2,3,0,0,0,1,0,1,0,46,26,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0
632.5,7339,0,10,18,0,115,0,2,4,23,0,0,11,0,0,0,0,0,0,0,31,73,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,6,0
640.5,7498,0,0,6,0,175,0,0,3,11,0,0,4,0,0,1,0,0,0,2,75,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0
649.5,7683,0,1,19,0,99,0,1,12,31,0,2,17,0,0,0,0,0,0,0,7,88,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
656.5,7896,0,1,25,0,91,0,0,2,8,0,0,6,0,0,0,2,0,0,0,1,126,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0
