depth,age.cal.BP,Alnus,Betula,Carpinus betulus,Corylus,Fagus,Fraxinus,Ilex aquifolium,Pinus,Quercus,Salix,Sorbus t.,Tilia,Ulmus,Hedera helix,Lonicera,Ericaceae,Calluna vulgaris,Poaceae <37um,cf. Glyceria,Cyperaceae,Anthemis,Apiaceae,Artemisia,Asteraceae,Brassicaceae,Caltha palustris,Campanula,Cannabis/Humulus t.,Caryophyllaceae,Centaurea nigra,Centaurea scabiosa,Chenopodiacaea,Chrysosplenium oppositifolium,Circaea t.,Cirsium t.,Epilobium,Erodium,Filipendula,Galium,Hypericum,Lactuceae,Lamiaceae undiff.,Lotus t.,Lysimachia vulgaris,Montia fontana,Plantago coronopus,Plantago lanceolata,Plantago major/media,Plantago maritima,Polemonium caeruleum,Potentilla,Ranunculus acris t.,Rhinanthus,Rosaceae undiff.,Rumex acetosa/acetosella,Rumex obtusofolius,Scrophularia,Sedum t.,Succisa pratensis,Thalictrum,Trifolium,Urtica dioica,Valeriana dioica,Menyanthes trifoliata,Myriophyllum spicatum,Potamogeton,Typha angustifolia,Filicales,Polypodium,Pteridium,Sphagnum,exotics,TLP,TLP+aquatics,TLP+spores
184,642,4,5,1,13,0,0,0,0,20,0,0,0,1,0,0,1,53,220,64,3,0,0,0,6,0,0,0,1,0,2,0,0,0,0,4,0,0,6,4,1,14,0,1,0,1,0,7,0,0,0,12,6,1,0,2,0,1,0,14,0,1,0,0,0,0,6,0,34,59,6,2,2127,469,475,570
192,648,17,11,0,44,0,0,0,0,0,1,0,0,1,0,0,4,28,241,14,10,0,5,1,0,26,0,2,1,1,2,0,0,8,0,0,0,0,1,9,0,4,0,0,0,16,0,12,0,0,0,25,7,0,0,13,1,0,0,0,0,1,0,1,0,0,24,0,36,11,9,8,775,507,531,571
200,655,8,3,3,32,1,3,0,3,16,2,0,0,3,0,0,8,134,164,10,21,2,1,0,2,2,0,0,0,1,0,0,0,3,0,1,0,0,2,15,2,7,0,0,0,2,0,16,0,1,0,18,7,0,0,3,0,0,0,8,0,0,0,0,0,0,6,0,34,21,11,10,716,504,510,580
208,663,21,13,0,49,0,0,0,0,12,9,0,0,0,0,0,0,24,233,7,7,0,6,6,5,11,0,0,0,0,1,0,0,15,0,0,0,0,17,14,0,5,0,0,0,6,0,19,0,0,0,25,8,0,1,13,0,0,0,0,0,0,0,0,0,0,9,0,47,14,12,11,195,527,536,611
216,672,12,4,1,30,1,0,0,0,22,2,0,0,0,0,0,0,22,252,13,21,0,0,0,3,0,0,1,0,3,6,0,0,0,0,0,0,0,11,9,0,16,0,0,0,5,0,21,0,0,0,13,28,0,0,8,2,0,0,6,0,2,0,1,0,0,6,0,56,33,14,0,262,515,521,618
224,683,6,11,0,17,0,1,0,0,1,0,0,0,0,0,0,0,5,470,3,9,0,0,0,0,16,0,0,0,2,1,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,6,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,76,567,567,580
232,696,0,4,0,9,0,0,0,2,35,1,0,0,0,0,0,1,103,65,12,10,5,0,1,1,1,2,0,0,1,6,0,0,0,0,1,0,0,17,1,0,7,0,0,0,8,0,7,0,0,0,0,3,0,0,2,0,0,0,11,0,0,1,1,0,0,1,0,18,64,6,0,2084,318,319,406
240,712,22,18,0,32,0,0,0,0,9,11,0,0,0,0,0,2,14,238,9,16,0,7,0,3,8,0,0,0,0,7,0,0,0,0,0,0,0,20,24,0,6,0,2,0,2,0,12,0,0,0,24,3,0,0,12,0,0,0,0,0,1,0,0,0,0,64,1,39,14,12,5,343,502,567,572
248,729,1,0,1,2,0,0,0,2,9,0,0,0,0,0,0,0,56,77,5,5,2,0,3,3,0,0,0,0,1,4,0,0,0,0,2,1,0,3,0,0,10,0,0,0,2,0,4,0,0,0,5,9,1,0,1,0,0,0,11,0,0,0,1,0,0,0,0,21,51,1,0,835,221,221,294
256,747,24,18,0,20,0,1,0,0,15,4,0,0,2,0,0,7,3,184,11,14,0,3,3,2,13,0,0,22,0,2,0,0,0,0,1,0,0,31,4,0,6,0,1,0,0,0,12,0,0,0,63,16,0,0,22,0,0,0,0,0,0,0,0,0,0,13,2,58,1,14,3,1307,504,519,580
264,765,8,16,2,16,4,5,0,0,30,2,0,0,1,0,0,0,35,153,12,27,5,0,1,5,2,0,0,0,3,1,0,2,0,0,1,4,0,6,1,0,8,0,1,0,109,0,6,0,0,0,14,6,3,0,11,0,0,0,1,0,0,0,0,0,0,1,0,51,6,13,2,835,501,502,573
272,783,4,14,1,10,0,0,0,0,17,16,0,0,0,0,0,2,5,97,6,9,0,0,4,3,3,1,0,1,0,0,0,0,4,0,0,0,0,216,16,0,2,0,0,0,1,0,9,0,0,0,23,13,0,0,29,1,1,0,0,0,0,0,0,0,0,16,0,21,2,8,0,497,508,524,539
280,806,2,3,0,20,2,0,0,1,28,2,0,0,3,0,0,0,11,105,3,22,0,0,3,1,0,0,1,0,4,1,0,0,3,0,0,63,0,25,62,0,31,0,0,0,0,0,6,1,0,0,7,20,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,56,5,8,0,183,514,514,583
