oldvar,RPP.LANDCLIMII
\iPlantago media\i - hoary plantain,zz.do not use
\iPolygala\i (jungfrulin),zz.do not use
\iPolygonum amphibium\i (vattenpilört),zz.do not use
\iPolygonum amphibum\i-typ (pilört),zz.do not use
\iPolygonum aviculare,zz.do not use
\iPolygonum aviculare \it.,zz.do not use
\iPolygonum aviculare\i,zz.do not use
"\iPolygonum aviculare\i type - knotgrass, etc.",zz.do not use
\iPolygonum aviculare\i-typ (trampört),zz.do not use
\iPolygonum oxyspermum \it.,zz.do not use
\iPolygonum persicaria\i-typ (åkerpilört m. fl.),zz.do not use
\iPolygonum persicaria\i-type,zz.do not use
"\iPolygonum\i (ormrot, pilört, trampört m. fl.)",zz.do not use
\iPolypodium vulgare\i,zz.do not use
\iPolypodium vulgare\i type - common polypody,zz.do not use
\iPolypodium vulgare\i-typ (stensöta),zz.do not use
\iPolypodium vulgare\i-type,zz.do not use
\iPopulus,zz.do not use
\iPopulus\i,zz.do not use
\iPopulus\i - aspen,zz.do not use
\iPopulus\i (asp),zz.do not use
\iPotamogeton,zz.do not use
\iPotamogeton\i,zz.do not use
\iPotamogeton\i (nate),zz.do not use
"\iPotamogeton\i subg. \iColeogeton\i (borstnate, trådnate)",zz.do not use
\iPotamogeton\i subg. \iPotamogeton\i (gäddnate m. fl.),zz.do not use
\iPotamogeton\i subg.\iColeogeton\i,zz.do not use
\iPotamogeton\i-typ (nate),zz.do not use
\iPotentilla\i t.,zz.do not use
"\iPotentilla\i type - tormentil, cinquefoil",zz.do not use
"\iPotentilla\i-typ (blodrot, fingerört m. fl.)",zz.do not use
\iPotentilla\i-type,zz.do not use
\iPrimula veris\i-typ (gullviva m. fl.),zz.do not use
\iPrunus padus\i,zz.do not use
\iPrunus padus\i (hägg),zz.do not use
\iPrunus t.,zz.do not use
\iPteridium,zz.do not use
\iPteridium aquilinum\i,zz.do not use
\iPteridium aquilinum\i - bracken,zz.do not use
\iPteridium aquilinum\i (örnbräken),zz.do not use
\iPteridium\i,zz.do not use
\iPulmonaria obscura\i-typ (lungört),zz.do not use
\iPulmonaria obscura\i-type,zz.do not use
\iQuercus,Quercus deciduous
\iQuercus\i,Quercus deciduous
\iQuercus\i - oak,Quercus deciduous
\iQuercus\i (ek),Quercus deciduous
\iRanunculus acris t.,zz.do not use
\iRanunculus acris t.\i,zz.do not use
\iRanunculus acris\i t.,zz.do not use
\iRanunculus flammula \it.,zz.do not use
\iRanunculus\i flammula type,zz.do not use
"\iRanunculus\i type - meadow buttercup, etc.",zz.do not use
\iRanunculus\i-typ (smörblommor m. fl.),zz.do not use
\iRanunculus\i-type,zz.do not use
\iRhamnus,zz.do not use
\iRhamnus catharticus\i,zz.do not use
\iRhamnus catharticus\i (getapel),zz.do not use
\iRhamnus frangula\i,zz.do not use
\iRhinanthus,zz.do not use
\iRhinanthus\i type - yellow-rattle,zz.do not use
"\iRhinanthus\i-typ (skallra, ögontröst m. fl.)",zz.do not use
\iRhinanthus\i-type,zz.do not use
\iRubus chamaemorus,zz.do not use
\iRubus chamaemorus\i,zz.do not use
\iRubus chamaemorus\i - cloudberry,zz.do not use
\iRubus chamaemorus\i (hjortron),zz.do not use
\iRumex ac.,Rumex acetosa-t
\iRumex ac/ac\i t.,Rumex acetosa-t
\iRumex acetosa/acetosella type,Rumex acetosa-t
\iRumex acetosa\i/\iR. acetosella\i,Rumex acetosa-t
"\iRumex acetosa\i/\iR. acetosella\i (ängssyra, bergssyra)",Rumex acetosa-t
\iRumex acetosella,Rumex acetosa-t
\iRumex aquaticus,zz.do not use
\iRumex longifolius\i t.,zz.do not use
\iRumex obtusifolius\i type - dock,Rumex acetosa-t
\iRumex obtusifolius\i-typ (tomtskräppa m. fl.),Rumex acetosa-t
\iRumex obtusifolius\i-type,Rumex acetosa-t
\iSalix,Salix
\iSalix\i,Salix
\iSalix\i - willow,Salix
"\iSalix\i (sälg, vide)",Salix
\iSambucus,zz.do not use
\iSambucus nigra\i type - elder,zz.do not use
"\iSambucus nigra\i-typ (fläder, druvfläder)",zz.do not use
\iSambucus nigra\i-type,zz.do not use
\iSanguisorba minor\i ssp. \iminor\i (pimpinell),zz.do not use
"\iSanguisorba\i (pimpinell, blodtopp)",zz.do not use
\iSassurea t.,zz.do not use
\iSaxifraga nivalis \it.,zz.do not use
\iSaxifraga oppositifolia,zz.do not use
\iSaxifraga oppositifolia\i-typ (purpurbräcka m. fl.),zz.do not use
\iScabiosa\i,zz.do not use
"\iScabiosa\i (fältvädd, luktvädd)",zz.do not use
\iScheuchzeria\i,zz.do not use
\iScheuchzeria\i (kallgräs),zz.do not use
"\iScrophularia\i-typ (flenört, kungsljus m. fl.)",zz.do not use
\iScrophularia\i-type,zz.do not use
\iSecale,Secale
\iSecale cereale,Secale
\iSecale\i,Secale
\iSecale\i - rye,Secale
\iSecale\i (råg),Secale
\iSedum,Secale
\iSelaginella,Secale
\iSelaginella selaginoides\i,Secale
\iSelaginella selaginoides\i (dvärglummer),Secale
